t,gear_choice,motor_pwm,accel_ramp_s,pid_p,pid_d,speed_mps,penalized_fitness,overcurrent,overtemp,timeout
0,1,0.6100694468006588,0.9655604334255194,2.6682201742093654,0.3887363693339117,1.327630483045957,1.327630483045957,False,False,False
1,1,0.5601519463781479,0.9573072226322901,2.825045175847267,0.5384209862660225,1.1391464814465195,1.1391464814465195,False,False,False
2,1,0.7572216312777498,0.8438481760794504,2.4769816682420536,0.5859598545604837,1.5801048575867005,1.5801048575867005,False,False,False
3,1,0.6836760262203552,1.040947357137331,2.476855355772101,0.4479455687324154,1.4665617231772956,1.4665617231772956,False,False,False
4,1,0.817780795795833,1.0893089167231975,2.373702330985147,0.40579511308185895,1.811245302733168,1.811245302733168,False,False,False
5,1,0.7402413778075773,1.049363500413737,2.193935143889986,0.37946038367815715,1.6302431076413304,1.6302431076413304,False,False,False
6,1,0.5681714357077682,1.1738949166475763,2.479293079043947,0.6955407260476036,1.1959969971775677,1.1959969971775677,False,False,False
7,1,0.7275662800161089,0.8250784402745421,2.369779003912085,0.5346894693437162,1.528181397145032,1.528181397145032,False,False,False
8,1,0.6033953767805069,1.0327926061427606,2.3769730942587795,0.3808725226737838,1.323700221530082,1.323700221530082,False,False,False
9,1,0.7486156379405151,0.8901788595738178,2.530000597462532,0.45605620556753085,1.578207228898514,1.578207228898514,False,False,False
10,1,0.6321817863094358,1.0928616370898345,2.4130009432754096,0.6541356729788618,1.3687094567111118,1.3687094567111118,False,False,False
11,1,0.3,0.9326386449780965,2.4908993023019637,0.46518139986465296,0.663587654655408,0.663587654655408,False,False,False
12,1,0.7799477438728417,0.913019728247138,2.4662045852293555,0.29508614747370365,1.7217625176838505,1.7217625176838505,False,False,False
13,1,0.6034894356443352,0.8719521260612949,2.3786904476673607,0.6846182553046404,1.2364021809074806,1.2364021809074806,False,False,False
14,1,0.8793773928316588,1.254392917030214,2.521646240422191,0.5629381539602221,1.8204621397760063,1.8204621397760063,False,False,False
15,1,0.9317203484094049,1.0256964991512727,2.392411157451569,0.573450899298025,1.9200470469747444,1.9200470469747444,False,False,False
16,1,0.7415384453856756,0.9446387120854479,2.3656344024246545,0.6826772277761491,1.5653675920760441,1.5653675920760441,False,False,False
17,1,0.8558651569005268,1.2342654543077447,2.5589662072581945,0.46644565503693447,1.763772285443277,1.763772285443277,False,False,False
18,1,0.7559182595000052,1.1036829848271221,2.280670395243283,0.43138908153579747,1.7476748887363276,1.7476748887363276,False,False,False
19,1,0.7206961095057549,0.9078425993110919,2.4531063761379,0.5374954551494124,1.5405973179184838,1.5405973179184838,False,False,False
20,1,0.6403097965302615,1.15570388197624,2.4568968280495658,0.4096845071227327,1.3899138758852805,1.3899138758852805,False,False,False
21,1,0.5322677463564673,0.9467575878170211,2.2945723005780363,0.45231365339369917,1.1183290015583525,1.1183290015583525,False,False,False
22,1,0.8070372309483801,0.747723178968845,2.546259485802323,0.34448932167672264,1.7423161633044404,1.7423161633044404,False,False,False
23,1,0.7614328866385538,0.87950411644426,2.115057522715567,0.48273309225803157,1.7540808733371285,1.7540808733371285,False,False,False
24,1,1.0,0.9479085103902194,2.3384913439612562,0.5657499566327878,2.0378634816529155,2.0378634816529155,False,False,False
