t,gear_choice,motor_pwm,accel_ramp_s,pid_p,pid_d,speed_mps,penalised_fitness,overcurrent,overtemp,joint_limit,timeout,algo,note
0,1,0.577617,0.884349,4.4946,0.411491,0.461888,0.461888,False,False,False,False,CMA-ES,
1,1,0.467992,1.108923,2.640866,0.624289,0.613368,0.613368,False,False,False,False,CMA-ES,
2,1,0.603624,1.5367,3.061171,0.9659,0.57136,0.57136,False,False,False,False,CMA-ES,
3,1,0.724644,1.10094,3.808466,0.663466,0.715646,0.715646,False,False,False,False,CMA-ES,
4,1,0.554859,1.302478,1.910614,0.727698,0.735691,0.735691,False,False,False,False,CMA-ES,
5,1,0.579117,1.139701,1.805987,0.565152,0.8698,0.8698,False,False,False,False,CMA-ES,
6,1,0.830034,1.429903,1.934544,0.259092,1.330972,1.330972,False,False,False,False,CMA-ES,
7,1,0.743345,0.757157,1.814933,0.629838,1.06081,1.06081,False,False,False,False,CMA-ES,
8,1,0.495342,1.302113,3.504435,0.508232,0.544182,0.544182,False,False,False,False,CMA-ES,
9,1,0.536791,0.927521,3.89226,0.538499,0.539834,0.539834,False,False,False,False,CMA-ES,
10,1,0.812157,1.027524,2.636233,0.53922,1.212244,1.212244,False,False,False,False,CMA-ES,
11,1,0.669562,1.120423,3.298654,0.722069,0.739386,0.739386,False,False,False,False,CMA-ES,
12,1,0.764673,0.835346,1.450795,0.246882,1.167314,1.167314,False,False,False,False,CMA-ES,
13,1,0.511503,1.19838,1.351273,0.77618,0.698387,0.698387,False,False,False,False,CMA-ES,
14,1,0.70916,0.656371,2.46412,0.425328,1.075129,1.075129,False,False,False,False,CMA-ES,
15,1,0.901182,1.260394,3.888562,0.294139,0.92439,0.92439,False,False,False,False,CMA-ES,
16,1,0.816923,1.029397,1.620495,0.108718,1.319746,1.319746,False,False,False,False,CMA-ES,
17,1,0.867083,0.566676,2.445605,0.513935,1.26003,1.26003,False,False,False,False,CMA-ES,
18,1,0.838998,0.593997,2.870302,0.293794,1.249622,1.249622,False,False,False,False,CMA-ES,
19,1,0.837498,1.058408,3.960925,0.317858,0.784387,0.784387,False,False,False,False,CMA-ES,
20,1,0.65,1.0,2.5,0.5,0.959569,0.959569,False,False,False,False,SafeBO,seed
21,1,0.602854,0.948856,2.347294,0.504326,0.964588,0.964588,False,False,False,False,SafeBO,seed
22,1,0.744211,1.000757,2.416477,0.492177,1.168901,1.168901,False,False,False,False,SafeBO,seed
23,1,0.775515,0.938412,2.314761,0.427691,1.183236,1.183236,False,False,False,False,SafeBO,
24,1,0.829962,1.06291,2.313704,0.476111,1.266577,1.266577,False,False,False,False,SafeBO,
25,1,0.89499,1.070976,2.358182,0.41624,1.397353,1.397353,False,False,False,False,SafeBO,
26,1,1.0,1.031951,2.370446,0.367712,1.530362,1.530362,False,False,False,False,SafeBO,
27,1,1.0,1.059917,2.469454,0.340154,1.572798,1.572798,False,False,False,False,SafeBO,
28,1,1.0,1.019968,2.447261,0.310848,1.628729,1.628729,False,False,False,False,SafeBO,
29,1,1.0,0.98007,2.455764,0.195178,1.506295,1.506295,False,False,False,False,SafeBO,
30,1,1.0,0.999582,2.518563,0.341483,1.487617,1.487617,False,False,False,False,SafeBO,
31,1,0.985066,1.16274,2.469308,0.300066,1.543642,1.543642,False,False,False,False,SafeBO,
32,1,1.0,0.978549,2.413053,0.23162,1.558149,1.558149,False,False,False,False,SafeBO,
33,1,1.0,1.052901,2.374658,0.316124,1.627078,1.627078,False,False,False,False,SafeBO,
34,1,1.0,1.066433,2.399922,0.345788,1.562144,1.562144,False,False,False,False,SafeBO,
35,1,1.0,1.04741,2.402493,0.235108,1.562399,1.562399,False,False,False,False,SafeBO,
36,1,1.0,1.087846,2.361106,0.251038,1.566414,1.566414,False,False,False,False,SafeBO,
37,1,1.0,0.973785,2.400965,0.375933,1.532487,1.532487,False,False,False,False,SafeBO,
38,1,1.0,1.010204,2.38048,0.339272,1.590697,1.590697,False,False,False,False,SafeBO,
39,1,1.0,1.005432,2.390564,0.328202,1.530257,1.530257,False,False,False,False,SafeBO,
40,2,0.665792,0.484014,1.996212,0.564443,1.416719,1.416719,False,False,False,False,CMA-ES,
