t,gear_choice,motor_pwm,accel_ramp_s,pid_p,pid_d,speed_mps,penalised_fitness,overcurrent,overtemp,joint_limit,timeout,algo,note
41,2,0.502197,0.148842,0.922052,0.653999,0.823822,0.823822,False,False,False,False,CMA-ES,
42,2,0.800402,1.099116,2.814982,0.700521,1.445259,1.445259,False,False,False,False,CMA-ES,
43,2,0.460149,0.544022,0.70481,0.447829,0.796816,0.796816,False,False,False,False,CMA-ES,
44,2,0.619353,1.167202,1.107947,0.56233,1.144537,1.144537,False,False,False,False,CMA-ES,
45,2,0.640995,0.904911,2.506189,0.637901,1.302124,1.302124,False,False,False,False,CMA-ES,
46,2,0.403353,1.127194,2.463864,0.554695,0.835082,0.835082,False,False,False,False,CMA-ES,
47,2,0.853751,0.566017,2.532789,0.449863,1.819234,1.819234,False,False,False,False,CMA-ES,
48,2,0.644715,1.224052,2.899927,0.452686,1.268848,1.268848,False,False,False,False,CMA-ES,
49,2,0.711916,1.18254,2.652289,0.384362,1.558154,1.558154,False,False,False,False,CMA-ES,
50,2,0.757564,0.967782,2.154934,0.404909,1.658004,1.658004,False,False,False,False,CMA-ES,
51,2,0.584092,1.695963,3.170445,0.497944,1.02567,1.02567,False,False,False,False,CMA-ES,
52,2,0.774953,0.930432,2.812397,0.633551,1.464002,1.464002,False,False,False,False,CMA-ES,
53,2,0.630534,0.759795,2.170823,0.548586,1.328409,1.328409,False,False,False,False,CMA-ES,
54,2,0.686437,0.704981,1.064341,0.879049,0.970057,0.970057,False,False,False,False,CMA-ES,
55,2,0.781854,0.790651,4.903807,0.325519,0.621524,0.621524,False,False,False,False,CMA-ES,
56,2,0.517209,1.497891,4.167522,0.718249,0.59235,0.59235,False,False,False,False,CMA-ES,
57,2,0.930537,1.484165,1.445493,0.030903,1.886008,1.886008,False,False,False,False,CMA-ES,
58,2,0.739392,1.346276,2.957239,0.422461,1.429721,1.429721,False,False,False,False,CMA-ES,
59,2,0.868523,1.267903,2.706327,0.505809,1.703374,1.703374,False,False,False,False,CMA-ES,
60,2,0.65,1.0,2.5,0.5,1.358771,1.358771,False,False,False,False,SafeBO,seed
61,2,0.566561,1.054332,2.88026,0.510953,1.061665,1.061665,False,False,False,False,SafeBO,seed
62,2,0.683234,0.858393,2.391089,0.583434,1.423657,1.423657,False,False,False,False,SafeBO,seed
63,2,0.721467,0.824377,2.422146,0.667847,1.385059,1.385059,False,False,False,False,SafeBO,
64,2,0.586576,0.84725,2.508726,0.585547,1.144262,1.144262,False,False,False,False,SafeBO,
65,2,0.717784,0.974363,2.564984,0.598801,1.397986,1.397986,False,False,False,False,SafeBO,
66,2,0.793333,0.978843,2.311425,0.57129,1.60217,1.60217,False,False,False,False,SafeBO,
67,2,0.821563,0.881474,2.371564,0.537669,1.682373,1.682373,False,False,False,False,SafeBO,
68,2,0.83141,0.893519,2.418549,0.606521,1.639274,1.639274,False,False,False,False,SafeBO,
69,2,0.885002,0.868928,2.346516,0.487939,1.854312,1.854312,False,False,False,False,SafeBO,
70,2,0.899123,0.840593,2.26383,0.367668,1.961613,1.961613,False,False,False,False,SafeBO,
71,2,0.934849,0.781687,2.233911,0.26552,2.059172,2.059172,False,False,False,False,SafeBO,
72,2,1.0,0.760073,2.367142,0.205926,2.116122,2.116122,False,False,False,False,SafeBO,
73,2,1.0,0.811248,2.424379,0.281918,2.123855,2.123855,False,False,False,False,SafeBO,
74,2,0.998503,0.900157,2.251005,0.216052,2.155029,2.155029,False,False,False,False,SafeBO,
75,2,1.0,0.853942,2.350908,0.188535,2.148204,2.148204,False,False,False,False,SafeBO,
76,2,1.0,0.755457,2.288373,0.277139,2.180176,2.180176,False,False,False,False,SafeBO,
77,2,1.0,0.826682,2.232137,0.283647,2.124033,2.124033,False,False,False,False,SafeBO,
78,2,1.0,0.826492,2.284887,0.291058,2.229659,2.229659,False,False,False,False,SafeBO,
79,2,1.0,0.876359,2.231784,0.267752,2.157339,2.157339,False,False,False,False,SafeBO,
80,3,0.975269,1.187332,3.483439,1.0,1.471459,1.471459,False,False,False,False,CMA-ES,
81,3,0.742081,0.908525,1.597596,0.481489,1.944276,1.944276,False,False,False,False,CMA-ES,
82,3,0.462355,1.341613,2.825155,0.377606,1.158365,1.158365,False,False,False,False,CMA-ES,
83,3,0.465469,0.850724,2.119361,0.449053,1.270625,1.270625,False,False,False,False,CMA-ES,
84,3,0.53621,1.265145,3.986627,0.346388,0.926708,0.926708,False,False,False,False,CMA-ES,
85,3,0.603515,0.740048,3.101913,0.451229,1.411089,1.411089,False,False,False,False,CMA-ES,
86,3,0.611399,1.179148,1.140502,0.329813,1.587623,1.587623,False,False,False,False,CMA-ES,
87,3,0.579604,0.356099,2.114377,0.249669,1.528098,1.528098,False,False,False,False,CMA-ES,
88,3,0.647033,1.908205,3.959244,0.48253,1.144554,1.144554,False,False,False,False,CMA-ES,
89,3,0.911251,0.985902,3.585323,0.289034,1.862475,1.862475,False,False,False,False,CMA-ES,
90,3,0.723124,0.489338,3.692543,0.746543,1.259634,1.259634,False,False,False,False,CMA-ES,
91,3,0.541387,1.413728,3.346375,0.375906,1.201668,1.201668,False,False,False,False,CMA-ES,
92,3,0.720787,1.380061,3.350528,0.12817,1.541653,1.541653,False,False,False,False,CMA-ES,
93,3,1.0,0.872232,2.43134,0.178333,2.719417,2.719417,False,False,False,False,CMA-ES,
94,3,0.86846,1.705077,4.287859,0.492857,1.326405,1.326405,False,False,False,False,CMA-ES,
95,3,0.680046,0.691203,2.819588,0.64264,1.597615,1.597615,False,False,False,False,CMA-ES,
96,3,0.868535,1.080243,2.462141,0.446414,2.333404,2.333404,False,False,False,False,CMA-ES,
97,3,0.740544,1.453811,3.889701,0.445616,1.316146,1.316146,False,False,False,False,CMA-ES,
98,3,0.672358,0.690797,1.988051,0.316695,1.855855,1.855855,False,False,False,False,CMA-ES,
99,3,0.738943,1.351574,2.926758,0.158407,1.814177,1.814177,False,False,False,False,CMA-ES,
100,3,0.65,1.0,2.5,0.5,1.670965,1.670965,False,False,False,False,SafeBO,seed
101,3,0.67036,1.028214,2.457931,0.486306,1.737965,1.737965,False,False,False,False,SafeBO,seed
102,3,0.652291,1.142001,2.420774,0.553778,1.700359,1.700359,False,False,False,False,SafeBO,seed
103,3,0.657402,1.072011,2.453822,0.410005,1.827092,1.827092,False,False,False,False,SafeBO,
104,3,0.707444,1.184066,2.500334,0.401324,1.922193,1.922193,False,False,False,False,SafeBO,
105,3,0.715263,1.19762,2.511103,0.420619,1.932683,1.932683,False,False,False,False,SafeBO,
106,3,0.703051,1.223746,2.540599,0.409775,1.889925,1.889925,False,False,False,False,SafeBO,
107,3,0.753996,1.196518,2.525,0.452505,1.978928,1.978928,False,False,False,False,SafeBO,
108,3,0.788375,1.165691,2.545819,0.394016,2.120477,2.120477,False,False,False,False,SafeBO,
109,3,0.874458,1.197348,2.694448,0.350431,2.293463,2.293463,False,False,False,False,SafeBO,
110,3,0.875379,1.119172,2.74016,0.221034,2.311815,2.311815,False,False,False,False,SafeBO,
111,3,0.955792,1.104959,2.602562,0.29177,2.598887,2.598887,False,False,False,False,SafeBO,
112,3,0.998785,1.076705,2.559165,0.219406,2.717265,2.717265,False,False,False,False,SafeBO,
113,3,1.0,1.054915,2.560626,0.110663,2.631118,2.631118,False,False,False,False,SafeBO,
114,3,0.963735,1.121827,2.646239,0.220236,2.584839,2.584839,False,False,False,False,SafeBO,
115,3,1.0,1.014899,2.558049,0.210438,2.660174,2.660174,False,False,False,False,SafeBO,
116,3,1.0,1.040599,2.505137,0.216901,2.697656,2.697656,False,False,False,False,SafeBO,
117,3,1.0,1.026734,2.437964,0.195101,2.705979,2.705979,False,False,False,False,SafeBO,
118,3,1.0,1.112815,2.493332,0.156932,2.648151,2.648151,False,False,False,False,SafeBO,
119,3,1.0,1.077243,2.442724,0.276258,2.70295,2.70295,False,False,False,False,SafeBO,
